"spot_id","url","cta_link_type"
599941,"https://ichibanhibachisteakhouserobinson.com/food-menu","food_menu"
599941,"https://ichibanhibachisteakhouserobinson.com/catering","catering"
599941,"https://tmt.spotapps.co/job-listings?spot_id=599941","job_listing"
295897,"https://cantinamary.com/drink-menu","drink_menu"
223325,"https://famouscafepgh.com/specials","specials"
223325,"https://famouscafepgh.com/drink-menu","drink_menu"
223325,"https://famouscafepgh.com/food-menu","food_menu"
295897,"https://cantinamary.com/food-menu","food_menu"
112200,"https://thepilothouseme.com/specials","specials"
112200,"https://thepilothouseme.com/events","events"
119958,"https://corpuschristi.latequilarestaurant.com/drink-menu","drink_menu"
119958,"https://corpuschristi.latequilarestaurant.com/food-menu","food_menu"
448800,"https://chubbiesfamousfriedchicken.com/catering","catering"
299306,"https://mungoscollinsville.com/catering","catering"
542718,"https://cafe-indigo.com/food-menu","food_menu"
410983,"https://thecrawlspacegastropub.com/-catering","catering"
544706,"https://eatmipueblonovato.com/food-menu","food_menu"
542718,"https://cafe-indigo.com/catering","catering"
49640,"https://dolcicafeitaliano.com/specials","specials"
49640,"https://versieats.com/menu-cafe-dolci","order"
599940,"https://ichibanhibachisteakhousecranberry.com/food-menu","food_menu"
504226,"https://refucilo.wine/-party","private_parties"
544706,"https://www.doordash.com/en/store/mi-pueblo-el-centro-petaluma-460205/609344/?srsltid=AfmBOoqyDXQxlxIUgzUhFhTy4e-K7grhyV_7LU0OYQyz78W4ikrLCT-i","order4"
599940,"https://ichibanhibachisteakhousecranberry.com/specials","specials"
599940,"https://ichibanhibachisteakhousecranberry.com/events","events"
599940,"https://ichibanhibachisteakhousecranberry.com/drink-menu","drink_menu"
504226,"https://refucilo.wine/-reservations","reservations"
556646,"https://bosssbah.com/catering","catering"
577533,"https://mcdonough.milkandhoneyatl.com/food-menu","food_menu"
283782,"https://ofenasf.com/drink-menu","drink_menu"
556646,"https://bosssbah.com/drink-menu","drink_menu"
354972,"https://schianosfastcasualitalian.com/-party","private_parties"
35003,"https://exoticthaicafewh.blizzfull.com/","order"
543216,"https://tandtsmokehousemeatsla.com/events","events"
556646,"https://bosssbah.com/party","private_parties"
123289,"https://tmt.spotapps.co/catering?spot_id=123289","catering"
319460,"https://theeverestsushi.com/food-menu","food_menu"
556646,"https://bosssbah.com/food-menu","food_menu"
556646,"https://www.clover.com/online-ordering/bosss-bah-pizza-braintree-2","order"
123289,"https://www.doordash.com/merchant/storefront?store_id=31719381","order"
577533,"https://mcdonough.milkandhoneyatl.com/specials","specials"
577533,"https://mcdonough.milkandhoneyatl.com/events","events"
577533,"https://mcdonough.milkandhoneyatl.com/drink-menu","drink_menu"
592746,"https://landmarkcevicheria.com/food-menu","food_menu"
613470,"https://khalsagpizza.ca/specials","specials"
613470,"https://khalsagpizza.ca/events","events"
613470,"https://khalsagpizza.ca/drink-menu","drink_menu"
613470,"https://khalsagpizza.ca/food-menu","food_menu"
592746,"https://landmarkcevicheria.com/reserve","reservations"
70321,"https://ramostexmex.com/specials","specials"
70321,"https://ramostexmex.com/events","events"
31527,"https://eladobedecapistrano.com/specials","specials"
